county_fips,state_fips,state,county_name
24001,24,MD,Allegany County
24003,24,MD,Anne Arundel County
24005,24,MD,Baltimore County
24510,24,MD,Baltimore City
24009,24,MD,Calvert County
24011,24,MD,Caroline County
24013,24,MD,Carroll County
24015,24,MD,Cecil County
24017,24,MD,Charles County
24019,24,MD,Dorchester County
24021,24,MD,Frederick County
24023,24,MD,Garrett County
24025,24,MD,Harford County
24027,24,MD,Howard County
24029,24,MD,Kent County
24031,24,MD,Montgomery County
24033,24,MD,Prince George's County
24035,24,MD,Queen Anne's County
24037,24,MD,St. Mary's County
24039,24,MD,Somerset County
24041,24,MD,Talbot County
24043,24,MD,Washington County
24045,24,MD,Wicomico County
24047,24,MD,Worcester County
