county_fips,state_fips,state,county_name,centroid_lat,centroid_lon,geography_source
10001,10,DE,Kent County,39.108703,-75.449268,regional_counties.geojson bbox center (web-simplified)
10003,10,DE,New Castle County,39.564898,-75.597218,regional_counties.geojson bbox center (web-simplified)
10005,10,DE,Sussex County,38.726914,-75.353481,regional_counties.geojson bbox center (web-simplified)
11001,11,DC,District of Columbia,38.893745,-77.014576,regional_counties.geojson bbox center (web-simplified)
24001,24,MD,Allegany County,39.612313,-78.703104,Census Gazetteer 2024 county internal point
24003,24,MD,Anne Arundel County,38.991617,-76.560894,Census Gazetteer 2024 county internal point
24005,24,MD,Baltimore County,39.443167,-76.616569,Census Gazetteer 2024 county internal point
24009,24,MD,Calvert County,38.522719,-76.529762,Census Gazetteer 2024 county internal point
24011,24,MD,Caroline County,38.871531,-75.831662,Census Gazetteer 2024 county internal point
24013,24,MD,Carroll County,39.563328,-77.015330,Census Gazetteer 2024 county internal point
24015,24,MD,Cecil County,39.562354,-75.941585,Census Gazetteer 2024 county internal point
24017,24,MD,Charles County,38.472853,-77.015427,Census Gazetteer 2024 county internal point
24019,24,MD,Dorchester County,38.429196,-76.047433,Census Gazetteer 2024 county internal point
24021,24,MD,Frederick County,39.470177,-77.397636,Census Gazetteer 2024 county internal point
24023,24,MD,Garrett County,39.547299,-79.274619,Census Gazetteer 2024 county internal point
24025,24,MD,Harford County,39.537429,-76.299789,Census Gazetteer 2024 county internal point
24027,24,MD,Howard County,39.252264,-76.924406,Census Gazetteer 2024 county internal point
24029,24,MD,Kent County,39.241279,-76.125987,Census Gazetteer 2024 county internal point
24031,24,MD,Montgomery County,39.137381,-77.203063,Census Gazetteer 2024 county internal point
24033,24,MD,Prince George's County,38.829278,-76.848188,Census Gazetteer 2024 county internal point
24035,24,MD,Queen Anne's County,39.040693,-76.082405,Census Gazetteer 2024 county internal point
24037,24,MD,St. Mary's County,38.223077,-76.534487,Census Gazetteer 2024 county internal point
24039,24,MD,Somerset County,38.074450,-75.853323,Census Gazetteer 2024 county internal point
24041,24,MD,Talbot County,38.748349,-76.178476,Census Gazetteer 2024 county internal point
24043,24,MD,Washington County,39.603621,-77.814671,Census Gazetteer 2024 county internal point
24045,24,MD,Wicomico County,38.367368,-75.632084,Census Gazetteer 2024 county internal point
24047,24,MD,Worcester County,38.222133,-75.309931,Census Gazetteer 2024 county internal point
24510,24,MD,Baltimore city,39.300032,-76.610476,Census Gazetteer 2024 county internal point
42001,42,PA,Adams County,39.89488,-77.213009,regional_counties.geojson bbox center (web-simplified)
42003,42,PA,Allegheny County,40.43461,-80.024938,regional_counties.geojson bbox center (web-simplified)
42005,42,PA,Armstrong County,40.847176,-79.45174,regional_counties.geojson bbox center (web-simplified)
42007,42,PA,Beaver County,40.666191,-80.332169,regional_counties.geojson bbox center (web-simplified)
42009,42,PA,Bedford County,40.024472,-78.471553,regional_counties.geojson bbox center (web-simplified)
42011,42,PA,Berks County,40.407189,-75.984997,regional_counties.geojson bbox center (web-simplified)
42013,42,PA,Blair County,40.492562,-78.367705,regional_counties.geojson bbox center (web-simplified)
42015,42,PA,Bradford County,41.771648,-76.521116,regional_counties.geojson bbox center (web-simplified)
42017,42,PA,Bucks County,40.328587,-75.102688,regional_counties.geojson bbox center (web-simplified)
42019,42,PA,Butler County,40.921183,-79.927588,regional_counties.geojson bbox center (web-simplified)
42021,42,PA,Cambria County,40.484222,-78.702507,regional_counties.geojson bbox center (web-simplified)
42023,42,PA,Cameron County,41.417265,-78.204843,regional_counties.geojson bbox center (web-simplified)
42025,42,PA,Carbon County,40.934697,-75.735915,regional_counties.geojson bbox center (web-simplified)
42027,42,PA,Centre County,40.972158,-77.76039,regional_counties.geojson bbox center (web-simplified)
42029,42,PA,Chester County,39.983136,-75.748857,regional_counties.geojson bbox center (web-simplified)
42031,42,PA,Clarion County,41.202263,-79.453826,regional_counties.geojson bbox center (web-simplified)
42033,42,PA,Clearfield County,40.988422,-78.422384,regional_counties.geojson bbox center (web-simplified)
42035,42,PA,Clinton County,41.220757,-77.618546,regional_counties.geojson bbox center (web-simplified)
42037,42,PA,Columbia County,41.042822,-76.424297,regional_counties.geojson bbox center (web-simplified)
42039,42,PA,Crawford County,41.66596,-80.065754,regional_counties.geojson bbox center (web-simplified)
42041,42,PA,Cumberland County,40.136418,-77.243092,regional_counties.geojson bbox center (web-simplified)
42043,42,PA,Dauphin County,40.389832,-76.782377,regional_counties.geojson bbox center (web-simplified)
42045,42,PA,Delaware County,39.934057,-75.406501,regional_counties.geojson bbox center (web-simplified)
42047,42,PA,Elk County,41.41667,-78.664893,regional_counties.geojson bbox center (web-simplified)
42049,42,PA,Erie County,42.182555,-80.065249,regional_counties.geojson bbox center (web-simplified)
42051,42,PA,Fayette County,39.933165,-79.652197,regional_counties.geojson bbox center (web-simplified)
42053,42,PA,Forest County,41.475457,-79.239081,regional_counties.geojson bbox center (web-simplified)
42055,42,PA,Franklin County,40.004877,-77.776756,regional_counties.geojson bbox center (web-simplified)
42057,42,PA,Fulton County,39.943567,-78.122544,regional_counties.geojson bbox center (web-simplified)
42059,42,PA,Greene County,39.870631,-80.211338,regional_counties.geojson bbox center (web-simplified)
42061,42,PA,Huntingdon County,40.402476,-77.966958,regional_counties.geojson bbox center (web-simplified)
42063,42,PA,Indiana County,40.640031,-79.129563,regional_counties.geojson bbox center (web-simplified)
42065,42,PA,Jefferson County,41.141268,-78.962883,regional_counties.geojson bbox center (web-simplified)
42067,42,PA,Juniata County,40.478586,-77.345793,regional_counties.geojson bbox center (web-simplified)
42069,42,PA,Lackawanna County,41.401841,-75.63745,regional_counties.geojson bbox center (web-simplified)
42071,42,PA,Lancaster County,40.018551,-76.297497,regional_counties.geojson bbox center (web-simplified)
42073,42,PA,Lawrence County,40.989751,-80.308802,regional_counties.geojson bbox center (web-simplified)
42075,42,PA,Lebanon County,40.375353,-76.414627,regional_counties.geojson bbox center (web-simplified)
42077,42,PA,Lehigh County,40.603078,-75.612493,regional_counties.geojson bbox center (web-simplified)
42079,42,PA,Luzerne County,41.164639,-75.960407,regional_counties.geojson bbox center (web-simplified)
42081,42,PA,Lycoming County,41.332814,-77.023536,regional_counties.geojson bbox center (web-simplified)
42083,42,PA,McKean County,41.800925,-78.579889,regional_counties.geojson bbox center (web-simplified)
42085,42,PA,Mercer County,41.281036,-80.259275,regional_counties.geojson bbox center (web-simplified)
42087,42,PA,Mifflin County,40.60374,-77.600935,regional_counties.geojson bbox center (web-simplified)
42089,42,PA,Monroe County,41.033423,-75.308086,regional_counties.geojson bbox center (web-simplified)
42091,42,PA,Montgomery County,40.212025,-75.355924,regional_counties.geojson bbox center (web-simplified)
42093,42,PA,Montour County,41.027277,-76.653334,regional_counties.geojson bbox center (web-simplified)
42095,42,PA,Northampton County,40.752735,-75.329912,regional_counties.geojson bbox center (web-simplified)
42097,42,PA,Northumberland County,40.889599,-76.664741,regional_counties.geojson bbox center (web-simplified)
42099,42,PA,Perry County,40.406764,-77.293365,regional_counties.geojson bbox center (web-simplified)
42101,42,PA,Philadelphia County,40.002728,-75.118015,regional_counties.geojson bbox center (web-simplified)
42103,42,PA,Pike County,41.340871,-75.024372,regional_counties.geojson bbox center (web-simplified)
42105,42,PA,Potter County,41.737595,-77.902396,regional_counties.geojson bbox center (web-simplified)
42107,42,PA,Schuylkill County,40.722587,-76.229715,regional_counties.geojson bbox center (web-simplified)
42109,42,PA,Snyder County,40.762666,-77.077671,regional_counties.geojson bbox center (web-simplified)
42111,42,PA,Somerset County,40.003508,-79.037931,regional_counties.geojson bbox center (web-simplified)
42113,42,PA,Sullivan County,41.432832,-76.516902,regional_counties.geojson bbox center (web-simplified)
42115,42,PA,Susquehanna County,41.82033,-75.803878,regional_counties.geojson bbox center (web-simplified)
42117,42,PA,Tioga County,41.771923,-77.24237,regional_counties.geojson bbox center (web-simplified)
42119,42,PA,Union County,40.978067,-77.081728,regional_counties.geojson bbox center (web-simplified)
42121,42,PA,Venango County,41.398106,-79.738833,regional_counties.geojson bbox center (web-simplified)
42123,42,PA,Warren County,41.811502,-79.264323,regional_counties.geojson bbox center (web-simplified)
42125,42,PA,Washington County,40.214903,-80.179139,regional_counties.geojson bbox center (web-simplified)
42127,42,PA,Wayne County,41.616047,-75.274602,regional_counties.geojson bbox center (web-simplified)
